Well_ID,S.No,State,District,Taluka,Site,Latitude,Longitude,Year,pH,EC,CO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,Water_Quality_New
W205430071213701,30,Gujarat,Amreli,Jafrabad,Kadiyali,20.861747,71.302268,2020,8.4,2680.0,24,674.0,27.0,8.9,450.0,132.0,29.0,363.00000000000006,12.0,1.0,1796.0,Moderate
W201200076010001,31,Gujarat,Amreli,Jafrabad,Jafrabad,20.868281,71.361554,2020,8.2,3374.0,0,645.0,177.0,150.0,320.0,40.0,54.0,528.0,210.0,0.61,2261.0,Moderate
W205745071260001,32,Gujarat,Amreli,Jafrabad,Lotpur,20.961527,71.431147,2020,8.2,8755.0,0,2567.0,477.0,114.0,901.0,64.0,179.968,1698.0,6.1000000000000005,0.27,5866.0,Poor
W205205071214501,33,Gujarat,Amreli,Jafrabad,Bherai,20.974028,71.486826,2020,8.4,3112.0,36,581.0,154.00000000000003,46.0,450.0,32.0,90.0,515.0,13.0,0.86,2085.0,Moderate
W205530071211501,34,Gujarat,Amreli,Jafrabad,Nageshri,20.919667,71.342351,2020,7.7,1390.0,0,156.0,107.0,49.00000000000001,369.99999999999994,72.0,46.0,164.0,7.5,0.27,931.0000000000001,Excellent
W210100071165001,35,Gujarat,Amreli,Khambha,Trakuda,21.016512,71.282878,2020,7.5,452.0,0,50.0,26.0,0.76,150.0,36.0,15.0,44.00000000000001,1.5,0.27,303.0,Excellent
W210900071142001,36,Gujarat,Amreli,Khambha,Khamba,21.146447,71.23811,2020,8.2,698.0,0,35.0,22.0,24.0,240.0,48.0,29.0,68.0,0.41,0.26,468.0,Excellent
W211400071150001,37,Gujarat,Amreli,Khambha,Vankiya1,21.232187,71.25327,2020,8.2,1408.0,0,142.0,84.99999999999999,136.0,470.0,92.0,58.0,136.0,1.9,0.28,943.0000000000001,Moderate
W211557071202001,38,Gujarat,Amreli,Kundla- Savar,Badhda,21.266366,71.338387,2020,8.2,1275.0,0,177.0,100.0,123.99999999999999,430.0,52.0,73.0,101.0,0.79,0.21,854.0000000000001,Good
W211330071244001,39,Gujarat,Amreli,Kundla- Savar,Goradka,21.228019,71.40808,2020,7.7,1324.0,0,234.0,97.0,135.0,530.0,104.0,66.0,86.0,0.64,0.23,887.0000000000001,Moderate
